codice,denominazione,ubicazione,comune,coordinata_x,coordinata_y,latitudine,longitudine,codice_zona
1266,BOMBICCI,VIA BOMBICCI P.L. 24,BOLOGNA,690500,928098,"44,479283","11,394374",500
3018,SAN DONNINO,VIA SAN DONATO 158/69,BOLOGNA,689120,931323,"44,508655","11,378215",500
3022,PIRANDELLO,VIA PIRANDELLO P.L. 25,BOLOGNA,690028,931692,"44,511735","11,389764",500
7110,MARTINI,VIA COSTA A. 152,BOLOGNA,684199,929647,"44,494854","11,315759",500
2000,PORTA SAN VITALE (VIA MAS,VIA MASSARENTI 10,BOLOGNA,687569,929635,"44,493877","11,358106",500
2022,GIAMBOLOGNA,VIA MASSARENTI 456,BOLOGNA,689780,929630,"44,493253","11,38589",500
2006,MASSARENTI,VIA MASSARENTI 146,BOLOGNA,688296,929528,"44,492725","11,367204",500
50614,ARGINONE CAPPONA,VIA SAN CRISTOFORO 193,ARGINONE,677515,956800,"44,74079","11,241135",650
56522,SANT`AGATA B. FIUMAZZO,VIA PERSICETO 29,SANT`AGATA BOLOGNESE,669795,947060,"44,655043","11,14046",553
56537,SANT`AGATA B. PORTA OTESI,VIA CIRCONDARIA EST FR P.L. 2,SANT`AGATA BOLOGNESE,669326,948141,"44,664879","11,134906",554
607027,PONTE DI COPPARO,VIA PO 50,COPPARO,722862,975715,"44,898157","11,821583",612
24630,ARGENTA,VIA MATTEOTTI 29/E,ARGENTA,725081,944256,"44,614604","11,835774",634
26690,LONGASTRINO,VIA MOLINETTO 1/E,LONGASTRINO,738898,941812,"44,588162","12,00855",701
2001,PORTA SAN VITALE,VIA MASSARENTI P.L. 5,BOLOGNA,687591,929616,"44,4937","11,358376",500
302,SFERISTERIO,VIA IRNERIO FR 5/E,BOLOGNA,686643,930363,"44,500666","11,346732",500
613001,CA` CAIMBANCA,VIA MARE,MASSA FISCAGLIA,741494,963797,"44,78493","12,051577",625
33026,FATTORIA PONTE DIAVOLO,VIA IMPERIALE FR 341,BARICELLA,706593,952949,"44,698344","11,606511",631
56554,CREVALCORE CENTRO COMMERC,VIA AMENDOLA 330,CREVALCORE,670178,954299,"44,720075","11,147694",555
7206,TURATI,VIA TURATI FR 55,BOLOGNA,684705,929313,"44,49172","11,321999",500
9501,TOSCANA PAVESE 1,VIA TOSCANA P.L. 188,BOLOGNA,687979,924802,"44,450297","11,361504",500
9036,PONTE SAVENA,VIA TOSCANA 180/A,BOLOGNA,688402,925256,"44,454271","11,366981",500
3124,MAGAZZARI,VIA MAGAZZARI FR 20,BOLOGNA,688547,930662,"44,50286","11,370771",500
1313,LARGO LERCARO,VIA DAGNINI 30/D,BOLOGNA,688564,928129,"44,480071","11,370062",500
3334,FIERA A.MORO,PIAZZALE A.MORO 20 (PENSILINA A),BOLOGNA,687916,931337,"44,509096","11,363086",500
72406,CASALECCHIO RONZANI,VIA RONZANI 26,CASALECCHIO DI RENO,681293,926285,"44,465347","11,278059",507
2025,ANTOLINI,VIA MATTEI P.L. 9,BOLOGNA,690682,929778,"44,494347","11,397279",500
1138,ROTONDA MEZZINI,VIA ALBERTO MARIO,BOLOGNA,689384,926190,"44,462415","11,379655",500
1009,ALEMANNI,VIA MAZZINI 65,BOLOGNA,688145,928897,"44,487089","11,365077",500
1022,VILLA PARADISO,VIA EMILIA LEVANTE FR 81/G,BOLOGNA,689478,928264,"44,481046","11,381594",500
9470,PONTICELLA EDERA,VIA EDERA FR 14,PONTICELLA,689246,925708,"44,458116","11,377745",500
127028,PONTICELLA EDERA,VIA EDERA FR 14,PONTICELLA,689247,925709,"44,458124","11,377758",501
9274,ROTONDA CORELLI,VIA CORELLI P.L. 50,BOLOGNA,688801,925450,"44,455911","11,372063",500
7126,GHISELLO,VIA BARCA 20/3,BOLOGNA,682943,929411,"44,493051","11,29989",500
600955,PESCI BUGLIONE,VIA PESCI 64,FERRARA,706515,966676,"44,821813","11,611085",600
9110,SIEPELUNGA,VIA BORGHI MAMO 6,BOLOGNA,687811,927816,"44,477452","11,360487",500
9463,STADIO FALCHI,VIA MARIO 11,BOLOGNA,689293,926334,"44,463734","11,378564",500
9106,SANTA BARBARA,VIA SANTA BARBARA 12-14,BOLOGNA,687472,927759,"44,477027","11,356208",500
616,SAN FELICE,VIA SAN FELICE 56/D,BOLOGNA,685487,929973,"44,497456","11,332063",500
6009,OSPEDALE MAGGIORE,VIA EMILIA PONENTE FR 16,BOLOGNA,684047,930655,"44,50396","11,314208",500
6029,BORGO PANIGALE STAZIONE,VIA EMILIA PONENTE P.L. 193,BOLOGNA,681591,931745,"44,514388","11,283719",500
690060,VIALE FRANCIA 47 [060],VIALE FRANCIA CIV. 47,LIDO DELLE NAZIONI,756766,960188,"44,747154","12,242509",601
691005,PAISOLO-BOSCOFORTE [005],INCROCIO PAISOLO-PUGNALINO,COMACCHIO,753511,953295,"44,686362","12,198037",627
6401,PRATI DI CAPRARA,VIALE NENNI 60,BOLOGNA,683616,930755,"44,50497","11,308826",500
