codice,denominazione,ubicazione,comune,coordinata_x,coordinata_y,latitudine,longitudine,codice_zona,osm_id,dist
600235,AUTOSTAZIONE RAMPARI SAN,,FERRARA,706421,968194,"44,835491","11,610514",600,259003967,0.0003953435594530203
5,STAZIONE CENTRALE,PIAZZA MEDAGLIE D`ORO (PENSILINA B),BOLOGNA,686386,930910,"44,505653","11,343699",500,315013159,1.3038753635226086
4,STAZIONE CENTRALE,VIALE PIETRAMELLARA 53 (FERMATA G),BOLOGNA,686341,930838,"44,505017","11,343108",500,315013160,1.3068051833415442
20,PORTA SAN VITALE,VIALE FILOPANTI 11,BOLOGNA,687470,929700,"44,494487","11,356886",500,315309363,1.3172197553813105
17,PORTA MASCARELLA,VIALE BERTI PICHAT 2/B,BOLOGNA,687258,930502,"44,501757","11,354512",500,315309364,1.3151178377429336
19,PORTA SAN DONATO,VIALE BERTI PICHAT 30,BOLOGNA,687437,930211,"44,499093","11,356656",500,315309368,1.3158997474785885
13,BORGO,VIALE MASINI 58,BOLOGNA,686996,930630,"44,502976","11,351265",500,315309374,1.3076848851170715
12,BORGO,VIALE MASINI 5/3,BOLOGNA,686990,930603,"44,502735","11,35118",500,315309378,1.3053669560271135
9,STAZIONE CENTRALE,PIAZZA MEDAGLIE D`ORO (PENSILINA E),BOLOGNA,686311,930872,"44,50533","11,342743",500,315309381,1.3074022685435607
40570,OSTERIA VECCHIA,VIA GIOVANNI XXIII 4,SAN GIORGIO DI PIANO,688504,946848,"44,648462","11,376156",545,359550456,0.000148424391525608
40574,SAN GIORGIO DI P. GIOVANN,VIA GIOVANNI XXIII FR 17,SAN GIORGIO DI PIANO,688559,947039,"44,650165","11,376919",545,359550457,0.0001772762815496752
44503,SAN GIORGIO GALLIERA CENT,VIA S.P. 4 GALLIERA KM 9+740,SAN GIORGIO DI PIANO,688220,945398,"44,635494","11,372046",545,415304994,0.0012144806956053606
44501,SAN GIORGIO CENTESE PASOL,VIA CENTESE BV SP 4,SAN GIORGIO DI PIANO,688191,945794,"44,639063","11,371825",545,415304999,0.00032269911682504716
40569,SAN GIORGIO DI P. PANZACC,VIA PANZACCHI 3,SAN GIORGIO DI PIANO,688573,946779,"44,647823","11,377",545,512194114,6.0604042768962306e-05
40559,SAN GIORGIO DI P. CIRCONV,VIA IV NOVEMBRE 2,SAN GIORGIO DI PIANO,688604,946514,"44,645431","11,377293",545,512194116,3.0220853722391008e-05
40567,PASOLINI,VIA MASINA FR 30,SAN GIORGIO DI PIANO,688070,945954,"44,640534","11,37036",545,546293043,9.094663270237081e-05
44502,SAN GIORGIO GALLIERA CENT,VIA PROVINCIALE BOLOGNA 9,SAN GIORGIO DI PIANO,688275,945651,"44,637755","11,372831",545,546293047,0.00019822537677759446
40564,MASINA,VIA MASINA FR 3,SAN GIORGIO DI PIANO,688305,945897,"44,63996","11,373299",545,546293050,0.00044975204279741686
40563,MASINA,VIA MASINA 5,SAN GIORGIO DI PIANO,688294,945913,"44,640107","11,373167",545,546293051,0.00048536737632359403
40555,DON MARELLA,VIA GNUDI 1/3,SAN GIORGIO DI PIANO,688344,946249,"44,643116","11,37392",545,546293053,0.0001893620870156186
40580,SAN GIORGIO DI P. CIRCONV,VIA IV NOVEMBRE 12/4,SAN GIORGIO DI PIANO,688575,946480,"44,645133","11,376915",545,546293055,7.08350901749357e-05
40568,SAN GIORGIO DI P. STAZION,VIA ROMA 1,SAN GIORGIO DI PIANO,688722,946663,"44,64674","11,378835",545,546293056,0.0001479624952493398
40562,DON MARELLA,VIA FORLANI 1,SAN GIORGIO DI PIANO,688418,946259,"44,643186","11,374856",545,549193472,6.854815825495688e-05
11230,LIANO POZZO,VIA TANARI 5418,CASTEL SAN PIETRO TERME,702729,916385,"44,370603","11,543425",513,550687423,0.0069673377074748015
11229,LIANO POZZO,VIA TANARI FR 5418,CASTEL SAN PIETRO TERME,702809,916305,"44,369862","11,544397",513,550687425,0.006635849199615687
94534,LA BIANCHINA,VIA IDICE 21,OZZANO DELL`EMILIA,693558,919476,"44,400917","11,429574",511,550687429,7.28195715435213e-05
600396,BOLOGNA VENEZIANI,VIA BOLOGNA 487,FERRARA,705184,965479,"44,811433","11,593784",600,703267820,6.111382822212625e-05
600174,PAVONE ARIANUOVA,VIA DEL PAVONE CIV. 18,FERRARA,707062,969174,"44,844118","11,619015",600,703267821,0.0005318030462510581
600494,PORTA CATENA AGUIARI,VIA PORTA CATENA 41,FERRARA,706411,969469,"44,84696","11,610906",600,703267823,6.435464241227088e-05
600448,VIA DEL CAMPO POLETTI,VIA DEL CAMPO FR 54,FERRARA,706816,966814,"44,822966","11,614945",600,703267824,0.00012142820924346606
600406,BOLOGNA AEROPORTO,VIA BOLOGNA 249,FERRARA,706130,966700,"44,82214","11,60623",600,703267825,0.00018209999999996285
600491,PORTA CATENA VIALE PO,VIA PORTA CATENA 26,FERRARA,706291,969307,"44,845538","11,609323",600,703267826,7.833090067176736e-05
600611,FABBRI,VIA G.FABBRI 225,FERRARA,707072,967110,"44,825554","11,6183",600,703267827,0.00026873574380568136
600467,FACOLTA` DI INGEGNERIA,VIA ARGINE DUCALE,FERRARA,705546,968205,"44,835843","11,59946",600,703267830,0.00010733126291783318
600016,SAN ROCCO MEDAGLIE D`ORO,RPA DI SAN ROCCO F 15,FERRARA,708280,967946,"44,83272","11,633907",600,703267834,0.00031277680540460164
600710,ALFONSO D`ESTE MEDAGLIE D,VIALE ALFONSO I D`ESTE,FERRARA,708199,967766,"44,831125","11,63281",600,703267835,0.0003132357897823513
600182,PORTA MARE ARIOSTEA,CSO PORTA MARE F 8,FERRARA,707545,968945,"44,841918","11,625026",600,703267838,2.325940669768867e-05
600164,CAVOUR GIARDINI,VIA CAVOUR 22,FERRARA,707033,968580,"44,838785","11,618406",600,703267839,0.00028652909101896834
600205,GIOVECCA PARCO PARESCHI,CSO DELLA GIOVECCA 169,FERRARA,707770,968120,"44,834433","11,627533",600,703267841,0.00013599562493040476
