codice_linea;codice_fermata;denominazione;ubicazione;comune;coordinata_x;coordinata_y;latitudine;longitudine;codice_zona
/;306;PORTA SAN DONATO;VIA IRNERIO 46;BOLOGNA;687209;930182;44,498891;11,35378;500
/;3310;CALZONI;VIA STALINGRADO FR 45;BOLOGNA;687523;931862;44,513921;11,358336;500
/;3506;SAN SISTO;VIA SAN DONATO 192/A;BOLOGNA;690889;932647;44,520098;11,40094;500
1;110121;PISACANE;VIA PISACANE FR 60/62;IMOLA;717011;914621;44,350598;11,721751;510
1;114102;IMOLA CENTRO COMMERCIALE;VIALE CARDUCCI FR 38;IMOLA;715854;915360;44,35759;11,707557;510
1;115101;IMOLA TURISMO;VIA PISACANE 47;IMOLA;717171;914482;44,3493;11,723699;510
1;120101;IMOLA AUTOSTAZIONE;VIA COSTA 45;IMOLA;716645;915356;44,357318;11,71747;510
1;120104;IMOLA STAZIONE;P.LE MARABINI FR 4;IMOLA;716741;915544;44,358979;11,718752;510
1;122105;IMOLA MARCONI;VIA MARCONI FR 73;IMOLA;715922;915789;44,361427;11,708587;510
1;122115;IMOLA VITTORIO VENETO;V.LE MARCONI FR 14;IMOLA;716298;915616;44,359759;11,713229;510
1;124113;IMOLA PONTESANTO;VIA PAMBERA FR 118;IMOLA;715124;916404;44,367196;11,698838;510
1;124512;IMOLA PAMBERA;VIA PAMBERA FR 95;IMOLA;715514;916147;44,364769;11,703621;510
1;124515;ZANOTTI BECCARIA;VIA ZANOTTI 20;IMOLA;714945;916192;44,365342;11,696507;510
1;124518;IMOLA TINTI SCUOLE;VIA TINTI FR CAMPO SPORTIVO;IMOLA;714660;916261;44,366048;11,692962;510
1;124528;ZOLINO;VIA GUALANDI FR 10;IMOLA;714352;916149;44,365132;11,689055;510
1;124531;ZOLINO GUALANDI;VIA FRATELLI GUALANDI 52/54/56/58;IMOLA;714430;916306;44,36652;11,690097;510
1;132101;IMOLA SAFFI CUP;V.LE SAFFI 44;IMOLA;715808;914867;44,35317;11,706776;510
1;150105;IMOLA IST. ALBERGHETTI;V.LE DANTE 1;IMOLA;716295;914612;44,350732;11,712774;510
1;151101;IMOLA PORTA MAZZINI;V.LE ZAPPI FR PL 21;IMOLA;716275;914673;44,351286;11,712549;510
1;151110;COLOMBARINA;VIA LEOPARDI 63;IMOLA;716736;914406;44,348747;11,718215;510
1;151133;IMOLA ANDREA COSTA;VIA COSTA 9;IMOLA;716578;915209;44,356016;11,716569;510
1;600018;SAN ROCCO FOSSATO DI MORT;RAMPARI DI SAN ROCCO;FERRARA;708318;968454;44,837277;11,634596;600
1;600160;CAVOUR ISONZO;VLE CAVOUR 170;FERRARA;706497;968913;44,841935;11,611767;600
