X,Y,codice,denominazi,ubicazione,comune
11.347249,44.504463,11,PORTA GALLIERA,VIALE MASINI 4/2,BOLOGNA
11.35118,44.502735,12,BORGO,VIALE MASINI 5/3,BOLOGNA
11.351265,44.502976,13,BORGO,VIALE MASINI 58,BOLOGNA
11.353732,44.501746,14,PORTA MASCARELLA,VIALE BERTI PICHAT 1,BOLOGNA
11.356518,44.497538,18,PORTA SAN DONATO,VIALE FILOPANTI 1,BOLOGNA
11.356886,44.494487,20,PORTA SAN VITALE,VIALE FILOPANTI 11,BOLOGNA
11.372955,44.482594,23,ALBERTI SIGONIO,VIA LEANDRO ALBERTI 83/85,BOLOGNA
11.357764,44.486637,26,CARDUCCI,VIALE CARDUCCI 9,BOLOGNA
11.357915,44.4882,29,CARDUCCI,VIALE CARDUCCI 30,BOLOGNA
11.372472,44.482767,31,ALBERTI SIGONIO,VIA LEANDRO ALBERTI 81,BOLOGNA
11.377184,44.486089,32,TRANSITO FOSSOLO,VIA FOSSOLO SOLO TRANSITO PER CIVIS,BOLOGNA
11.343892,44.485996,36,PARCHEGGIO STAVECO,VIALE PANZACCHI 9,BOLOGNA
11.338261,44.487003,38,PORTA SAN MAMOLO,VIALE ALDINI FR 2/F,BOLOGNA
11.345023,44.48564,41,PARCHEGGIO STAVECO,VIALE PANZACCHI 10,BOLOGNA
11.334298,44.488534,42,ALDINI,VIALE ALDINI 19,BOLOGNA
11.340853,44.486104,43,PORTA SAN MAMOLO,VIALE PANZACCHI FR 25,BOLOGNA
11.335834,44.487647,45,PETRARCA,VIALE ALDINI 118,BOLOGNA
11.333607,44.488548,49,ALDINI,VIALE ALDINI 190,BOLOGNA
11.328287,44.495508,50,PORTA SANT`ISAIA,VIALE VICINI FR 6,BOLOGNA
11.328118,44.499788,52,PORTA SAN FELICE,VIALE SILVANI 3,BOLOGNA
11.331994,44.501734,54,PORTA LAME,VIALE SILVANI 11/E,BOLOGNA
11.327952,44.495308,57,PORTA SANT`ISAIA,VIALE VICINI 6/2,BOLOGNA
11.335537,44.503498,58,PORTA LAME,VIALE PIETRAMELLARA 1/3,BOLOGNA
11.328952,44.500518,65,SILVANI,VIALE SILVANI 6,BOLOGNA
11.351739,44.493478,106,PIAZZA ALDROVANDI,PIAZZA ALDROVANDI 8,BOLOGNA
11.343724,44.493706,108,PIAZZA MAGGIORE,PIAZZA MAGGIORE 3,BOLOGNA
11.349968,44.491047,110,BORGONUOVO,VIA BORGONUOVO 16,BOLOGNA
